Award,Domicile,Father's Name,Mother's Name,Name,Rank at time of Award,Service No.,Unit,Year of Award
PARAM VIR CHAKRA,"KANGRA,HP",MAJ GEN A N SHARMA,NA,MAJ SOMNATH SHARMA,MAJ,IC-521,4 KUMAON,1950 (Republic Day)
PARAM VIR CHAKRA,"Barnala, State-Punjab",Late UTTAM SINGH,Late SANTI KAUR,"L/NK KARAM SINGH, MM",L/NK,22356,1 SIKH,1950 (Republic Day)
PARAM VIR CHAKRA,,NA,NA,2/LT RAMA RAGHOBA RANE,2/LT,SS-14246,ENGRS,1950
PARAM VIR CHAKRA,,NA,NA,NK JADUNATH SINGH,NK,27373,1 RAJPUT,1950
PARAM VIR CHAKRA,"Jhunjhunu, State- Rajasthan",Lal Singh,Smt Jara Bai,CHM PIRU SINGH,CHM,2831592,6 RAJ RIF,1952 (Republic Day)
PARAM VIR CHAKRA,"GURDASPUR,PUNJAB",MUNSHI RAM,NA,CAPT GURBACHAN SINGH SALARIA,CAPT,IC-8497,3/1 GR,1962
PARAM VIR CHAKRA,LUCKNOW,NA,NA,MAJ DHAN SINGH THAPA,MAJ,IC-7990,8 GR,1962
PARAM VIR CHAKRA,Muktsar      State : Punjab,Sh Sher Singh,Smt Kishan Kaur,SUB JOGINDER SINGH,SUB,JC-4547,1 SIKH,1962
PARAM VIR CHAKRA,JODHPUR,HEM SINGH,NA,MAJ SHAITAN SINGH,MAJ,IC-6400,KUMAON,1963
PARAM VIR CHAKRA,,NA,NA,CQMH ABDUL HAMID,CQMH,2639985,4 GDRS,1965
PARAM VIR CHAKRA,":POONA,MH",NA,NA,LT COL ARDESHIR BURZORJI TARAPORE,LT COL,IC-5565,POONA HORSE,1965
PARAM VIR CHAKRA,,NA,NA,2/LT ARUN KHETARPAL,2/LT,IC-25067,17 HORSE,1972 (Republic Day)
PARAM VIR CHAKRA,ROHTAK,HIRA SINGH,NA,MAJ HOSHIAR SINGH,MAJ,IC-14608,GDRS,1972 (Republic Day)
PARAM VIR CHAKRA,"GUMLA,JHARKHAND",ZULUIS EKKA,MARIAM  TIRKEY,L/NK ALBERT EKKA,L/NK,4239746,GUARDS,1972 (Republic Day)
PARAM VIR CHAKRA,"Ludhiana, Punjab",S. Tarlok Singh,Smt Harbans Kaur,Fg Off Nirmal Jit Singh Sekhon,,10877,,1972
PARAM VIR CHAKRA,,NA,NA,NB SUB BANA SINGH,NB SUB,JC-155825,JAK LI,1988 (Republic Day)
PARAM VIR CHAKRA,"MATAURA,MH",KS RAMASWAMY,NA,MAJ RAMASWAMY PARAMESWARAN,MAJ,IC-32907,MAHAR,1988
PARAM VIR CHAKRA,"KANGRA ,HP",GIRDHARI LALBATRA,KAMALBATRA,CAPT VIKRAM BATRA,CAPT,IC-57556,13 JAK RIF,1999 (Independence Day)
PARAM VIR CHAKRA,LUCKNOW,GOPI CHAND PANDEY,MOHINI PANDEY,LT MANOJ KUMAR PANDEY,LT,IC-56959,1/11 GR,1999 (Independence Day)
PARAM VIR CHAKRA,Bilaspur  State - (HP),Durga Ram,Bhag Devi,RFN SANJAY KUMAR,RFN,13760533,13 JAK RIF,1999 (Independence Day)
PARAM VIR CHAKRA,,NA,NA,GDR YOGENDER SINGH YADAV,GDR,2690572,18 GDRS,1999 (Independence Day)
